>>> 
============ RESTART: C:\Users\Administrator\Desktop\conv\test.py ============
Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
step 15200, training accuracy 1
step 15250, training accuracy 1
step 15300, training accuracy 1
step 15350, training accuracy 1
step 15400, training accuracy 1
step 15450, training accuracy 1
step 15500, training accuracy 1
step 15550, training accuracy 1
step 15600, training accuracy 1
step 15650, training accuracy 1
step 15700, training accuracy 1
step 15750, training accuracy 1
step 15800, training accuracy 1
step 15850, training accuracy 1
step 15900, training accuracy 1
step 15950, training accuracy 1
step 16000, training accuracy 1
step 16050, training accuracy 1
step 16100, training accuracy 1
step 16150, training accuracy 1
step 16200, training accuracy 1
step 16250, training accuracy 1
step 16300, training accuracy 1
step 16350, training accuracy 1
step 16400, training accuracy 1
step 16450, training accuracy 1
step 16500, training accuracy 1
step 16550, training accuracy 1
step 16600, training accuracy 1
step 16650, training accuracy 1
step 16700, training accuracy 1
step 16750, training accuracy 1
step 16800, training accuracy 1
step 16850, training accuracy 1
step 16900, training accuracy 1
step 16950, training accuracy 1
step 17000, training accuracy 1
step 17050, training accuracy 1
step 17100, training accuracy 1
step 17150, training accuracy 1
step 17200, training accuracy 1
step 17250, training accuracy 1
step 17300, training accuracy 1
step 17350, training accuracy 1
step 17400, training accuracy 1
step 17450, training accuracy 1
step 17500, training accuracy 1
step 17550, training accuracy 1
step 17600, training accuracy 1
step 17650, training accuracy 1
step 17700, training accuracy 1
step 17750, training accuracy 1
step 17800, training accuracy 1
step 17850, training accuracy 1
step 17900, training accuracy 0.99
step 17950, training accuracy 1
step 18000, training accuracy 1
step 18050, training accuracy 1
step 18100, training accuracy 1
step 18150, training accuracy 1
step 18200, training accuracy 1
step 18250, training accuracy 1
step 18300, training accuracy 1
step 18350, training accuracy 1
step 18400, training accuracy 1
step 18450, training accuracy 1
step 18500, training accuracy 1
step 18550, training accuracy 1
step 18600, training accuracy 1
step 18650, training accuracy 1
step 18700, training accuracy 0.99
step 18750, training accuracy 1
step 18800, training accuracy 0.99
step 18850, training accuracy 1
step 18900, training accuracy 1
step 18950, training accuracy 1
step 19000, training accuracy 1
step 19050, training accuracy 1
step 19100, training accuracy 1
step 19150, training accuracy 1
step 19200, training accuracy 1
step 19250, training accuracy 1
step 19300, training accuracy 1
step 19350, training accuracy 1
step 19400, training accuracy 0.99
step 19450, training accuracy 1
step 19500, training accuracy 1
step 19550, training accuracy 1
step 19600, training accuracy 1
step 19650, training accuracy 1
step 19700, training accuracy 1
step 19750, training accuracy 1
step 19800, training accuracy 1
step 19850, training accuracy 1
step 19900, training accuracy 1
step 19950, training accuracy 1
test accuracy 0.9928
>>> 
